#TYPE Selected.System.String
"HostName","FQDN","Status","IPv4","IPv6","MAC","Ports","Services","OS","Script"
"<no-hostname>","<no-fullname>","up","10.51.14.227","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.228","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 8100 Series printer <85%-accuracy>
print server HP embedded <95%-accuracy>
router Adtran embedded <86%-accuracy>
printer HP embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.229","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.232","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.233","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.234","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.237","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet P3005 or CP4005 printer <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.238","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4050/4200/4600/5100 (JetDirect) printer <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.239","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4050/4200/4600/5100 (JetDirect) printer <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.240","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.241","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.242","<no-ipv6>","<no-mac>","open:tcp:80:http
open:tcp:515:printer
open:tcp:631:ipp
filtered:tcp:5432:postgres
open:tcp:9100:jetdirect","<no-services>","Linux 2.4.28 - 2.4.30 <100%-accuracy>
general purpose Linux Linux 2.4.X <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.243","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.244","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.245","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4050/4200/4600/5100 (JetDirect) printer <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.247","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.248","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http
open:tcp:280:http-mgmt
open:tcp:443:https
open:tcp:515:printer
open:tcp:631:ipp
open:tcp:9100:jetdirect","<no-services>","HP LaserJet 4250 printer (J7949E) <100%-accuracy>
printer HP embedded <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.51.14.253","<no-ipv6>","<no-mac>","open:tcp:21:ftp
open:tcp:23:telnet
open:tcp:80:http","<no-services>","APC AP3802 metered rack power distribution unit (AOS 2.7.0) <100%-accuracy>
power-device APC AOS 2.X <100%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.6","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.12","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.14","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.16","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.17","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.16","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <94%-accuracy>
scanner HP embedded <88%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.18","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.36","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.40","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.48","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.50","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.56","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.61","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.64","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.65","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <93%-accuracy>
scanner HP embedded <88%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.74","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.79","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
